id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2017-0091,CONDUCTOR,MOTO,MASCULINO,58.0,2017-07-15,entre_40_y_60,1,2017-07-15,2017,7,15,sábado,No Laboral,13:00:00,13,tarde,GRAL PAZ,SUPERI,"PAZ, GRAL. AV.","SUPERI y PAZ, GRAL. AV.",12,-34.54321216,-58.48671535,MOTO-SD,MOTO,SD
2017-0092,PEATON,PEATON,MASCULINO,66.0,2017-07-24,entre_60_y_80,1,2017-07-24,2017,7,24,lunes,Laboral,22:16:01,22,tarde-noche,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-34.62282019,-58.38268809,PEATON-AUTO,PEATON,AUTO
2017-0093,PEATON,PEATON,MASCULINO,0.0,2017-07-25,edad_desconocida,1,2017-07-25,2017,7,25,martes,Laboral,16:48:40,16,tarde,AUTOPISTA,"LUGONES, LEOPOLDO AV.",PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13,-34.54966288,-58.43633522,PEATON-AUTO,PEATON,AUTO
2017-0094,CICLISTA,BICICLETA,FEMENINO,56.0,2017-07-27,entre_40_y_60,1,2017-07-27,2017,7,27,jueves,Laboral,08:50:00,8,mañana,CALLE,"HUGO, VICTOR",,"HUGO, VICTOR 2639",10,-34.61765855,-58.52640838,BICICLETA-CARGAS,BICICLETA,CARGAS
2017-0095,CONDUCTOR,MOTO,MASCULINO,36.0,2017-08-06,entre_20_y_40,1,2017-08-06,2017,8,6,domingo,No Laboral,08:00:00,8,mañana,AVENIDA,CORDOBA AV.,"SALGUERO, JERONIMO","CORDOBA AV. y SALGUERO, JERONIMO",14,-34.59778875,-58.41894306,MOTO-AUTO,MOTO,AUTO
2017-0096,PEATON,PEATON,MASCULINO,87.0,2017-08-07,mas_de_80,1,2017-08-07,2017,8,7,lunes,Laboral,19:50:00,19,tarde-noche,AVENIDA,CABILDO AV.,NU?EZ,CABILDO AV. y NUÃ‘EZ,13,-34.54972741,-58.46756026,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0098,PEATON,PEATON,FEMENINO,61.0,2017-08-08,entre_60_y_80,1,2017-08-08,2017,8,8,martes,Laboral,12:10:00,12,tarde,CALLE,"BONIFACIO, JOSE",,"BONIFACIO, JOSE 2114",7,-34.63132912,-58.45715752,PEATON-AUTO,PEATON,AUTO
2017-0099,CICLISTA,BICICLETA,MASCULINO,28.0,2017-08-17,entre_20_y_40,1,2017-08-17,2017,8,17,jueves,Laboral,19:45:00,19,tarde-noche,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",,"FIGUEROA ALCORTA, PRES. AV. 5400",14,-34.56213916,-58.42406784,BICICLETA-AUTO,BICICLETA,AUTO
2017-0100,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16.0,2017-08-21,entre_0_y_20,1,2017-08-21,2017,8,21,lunes,Laboral,07:45:00,7,mañana,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,-34.61512051,-58.39674470,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0101,PEATON,PEATON,FEMENINO,61.0,2017-08-23,entre_60_y_80,1,2017-08-23,2017,8,23,miércoles,Laboral,10:00:00,10,mañana,AVENIDA,"LACROZE, FEDERICO AV.",ZAPATA,"LACROZE, FEDERICO AV. y ZAPATA",13,-34.57084818,-58.44537508,MULTIPLE,PEATON,MULTIPLE
