id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2016-0050,PEATON,PEATON,MASCULINO,78.0,2016-04-19,entre_60_y_80,1,2016-04-19,2016,4,19,martes,Laboral,09:50:00,9,mañana,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-34.68550712,-58.47305463,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0051,CONDUCTOR,MOTO,MASCULINO,36.0,2016-04-20,entre_20_y_40,1,2016-04-20,2016,4,20,miércoles,Laboral,04:00:00,4,noche,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-34.65076549,-58.40623949,MOTO-CARGAS,MOTO,CARGAS
2016-0052,SD,MOTO,SD,0.0,,edad_desconocida,1,2016-04-20,2016,4,20,miércoles,Laboral,20:00:00,20,tarde-noche,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,AUTOPISTA LUGONES PK 10000,13,.,.,MOTO-SD,MOTO,SD
2016-0053,PEATON,PEATON,MASCULINO,38.0,2016-04-22,entre_20_y_40,1,2016-04-22,2016,4,22,viernes,Laboral,09:30:00,9,mañana,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-34.57558053,-58.48429180,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0054,CONDUCTOR,MOTO,MASCULINO,30.0,2016-04-25,entre_20_y_40,1,2016-04-23,2016,4,23,sábado,No Laboral,21:00:00,21,tarde-noche,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-34.68795245,-58.48695354,MOTO-MOTO,MOTO,MOTO
2016-0055,PEATON,PEATON,MASCULINO,79.0,2016-04-28,entre_60_y_80,1,2016-04-25,2016,4,25,lunes,Laboral,20:30:00,20,tarde-noche,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-34.57964781,-58.40021959,PEATON-CARGAS,PEATON,CARGAS
2016-0056,CONDUCTOR,MOTO,MASCULINO,26.0,2016-04-26,entre_20_y_40,1,2016-04-26,2016,4,26,martes,Laboral,04:45:00,4,noche,AVENIDA,"CAMPOS, LUIS M. AV.",,"CAMPOS, LUIS M. AV. 30",14,-34.57660058,-58.42957885,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,PEATON,PEATON,FEMENINO,57.0,2016-05-08,entre_40_y_60,1,2016-05-04,2016,5,4,miércoles,Laboral,14:00:00,14,tarde,CALLE,LIMA,,LIMA 1471,1,-34.62556293,-58.38247542,PEATON-MOTO,PEATON,MOTO
2016-0059,PEATON,PEATON,MASCULINO,37.0,2016-05-26,entre_20_y_40,1,2016-05-08,2016,5,8,domingo,No Laboral,16:30:00,16,tarde,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,1,-34.62728101,-58.38222219,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0064,PEATON,PEATON,MASCULINO,20.0,,entre_20_y_40,1,2016-05-14,2016,5,14,sábado,No Laboral,18:11:00,18,tarde-noche,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-34.62953445,-58.49485242,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0065,PEATON,PEATON,MASCULINO,20.0,2016-05-20,entre_20_y_40,1,2016-05-20,2016,5,20,viernes,Laboral,14:40:00,14,tarde,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,6,-34.61068024,-58.45227946,PEATON-AUTO,PEATON,AUTO
2016-0067,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,,entre_20_y_40,1,2016-05-21,2016,5,21,sábado,No Laboral,17:00:00,17,tarde,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8,-34.67512760,-58.48455411,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0068,CONDUCTOR,MOTO,MASCULINO,58.0,,entre_40_y_60,1,2016-05-22,2016,5,22,domingo,No Laboral,22:00:00,22,tarde-noche,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-34.58418569,-58.39056593,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0069,CONDUCTOR,AUTO,MASCULINO,30.0,2016-05-23,entre_20_y_40,1,2016-05-23,2016,5,23,lunes,Laboral,03:30:00,3,noche,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3,-34.62704273,-58.39118948,AUTO-CARGAS,AUTO,CARGAS
2016-0073,CONDUCTOR,MOTO,MASCULINO,23.0,,entre_20_y_40,1,2016-06-11,2016,6,11,sábado,No Laboral,15:00:00,15,tarde,CALLE,"MAGARI?OS CERVANTES, A.",,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-34.62025108,-58.49021952,MOTO-CARGAS,MOTO,CARGAS
2016-0074,CONDUCTOR,AUTO,MASCULINO,60.0,,entre_60_y_80,1,2016-06-12,2016,6,12,domingo,No Laboral,06:40:00,6,mañana,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-34.67732118,-58.49896559,AUTO-AUTO,AUTO,AUTO
2016-0075,PEATON,PEATON,MASCULINO,42.0,2016-06-12,entre_40_y_60,1,2016-06-12,2016,6,12,domingo,No Laboral,23:13:00,23,tarde-noche,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-34.66874679,-58.47461076,PEATON-AUTO,PEATON,AUTO
2016-0076,PEATON,PEATON,FEMENINO,53.0,2016-06-13,entre_40_y_60,1,2016-06-13,2016,6,13,lunes,Laboral,16:20:00,16,tarde,AVENIDA,SAN MARTIN AV.,CAMARONES,SAN MARTIN AV. y CAMARONES,15,-34.60356211,-58.46210891,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0077,PEATON,PEATON,FEMENINO,0.0,,edad_desconocida,1,2016-06-13,2016,6,13,lunes,Laboral,21:52:00,21,tarde-noche,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-34.60536123,-58.37027770,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0078,CONDUCTOR,MOTO,MASCULINO,30.0,,entre_20_y_40,1,2016-06-13,2016,6,13,lunes,Laboral,23:01:00,23,tarde-noche,AVENIDA,BELGRANO AV.,JUJUY AV.,BELGRANO AV. y JUJUY AV.,3,-34.61463830,-58.40491455,MOTO-MOTO,MOTO,MOTO
2016-0079,CONDUCTOR,AUTO,FEMENINO,51.0,,entre_40_y_60,1,2016-06-16,2016,6,16,jueves,Laboral,17:13:00,17,tarde,AVENIDA,DEL LIBERTADOR AV.,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-34.54864492,-58.45504154,AUTO-AUTO,AUTO,AUTO
2016-0080,CONDUCTOR,AUTO,MASCULINO,60.0,,entre_60_y_80,1,2016-06-18,2016,6,18,sábado,No Laboral,06:42:00,6,mañana,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-34.63931752,-58.52927982,AUTO-SD,AUTO,SD
2016-0081,CONDUCTOR,MOTO,MASCULINO,40.0,,entre_40_y_60,1,2016-06-22,2016,6,22,miércoles,Laboral,07:42:00,7,mañana,AVENIDA,"LARRALDE, CRISOLOGO AV.",MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-34.55904606,-58.48721060,MOTO-AUTO,MOTO,AUTO
2016-0082,PEATON,PEATON,MASCULINO,87.0,2016-07-05,mas_de_80,1,2016-06-27,2016,6,27,lunes,Laboral,18:24:00,18,tarde-noche,AVENIDA,LA PLATA AV.,,LA PLATA AV. 2384,4,-34.64228803,-58.42273092,PEATON-AUTO,PEATON,AUTO
2016-0083,PEATON,PEATON,FEMENINO,76.0,2016-06-29,entre_60_y_80,1,2016-06-28,2016,6,28,martes,Laboral,20:46:00,20,tarde-noche,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-34.62539009,-58.44788671,PEATON-MOTO,PEATON,MOTO
2016-0084,PEATON,PEATON,MASCULINO,57.0,2016-07-08,entre_40_y_60,1,2016-06-29,2016,6,29,miércoles,Laboral,22:00:00,22,tarde-noche,CALLE,"PELLEGRINI, CARLOS",TUCUMAN,"PELLEGRINI, CARLOS y TUCUMAN",1,-34.60135531,-58.38110563,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0085,SD,MOTO,MASCULINO,0.0,,edad_desconocida,1,2016-06-29,2016,6,29,miércoles,Laboral,22:00:00,22,tarde-noche,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",EREZCANO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-34.65734100,-58.42378834,MOTO-MOVIL,MOTO,OTRO
2016-0086,PEATON,PEATON,MASCULINO,75.0,2016-07-01,entre_60_y_80,1,2016-06-30,2016,6,30,jueves,Laboral,16:10:00,16,tarde,AVENIDA,OLIVERA AV.,"FALCON, RAMON L.,CNEL.","OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-34.63652467,-58.48727942,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0087,CONDUCTOR,MOTO,MASCULINO,23.0,2016-07-03,entre_20_y_40,1,2016-07-02,2016,7,3,sábado,No Laboral,00:10:00,0,noche,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-34.62907067,-58.37864583,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0088,PEATON,PEATON,FEMENINO,70.0,2016-07-14,entre_60_y_80,1,2016-07-11,2016,7,11,lunes,Laboral,15:30:00,15,tarde,CALLE,CERETTI,NU?EZ,CERETTI y NUÃ‘EZ,12,-34.56767549,-58.50151750,PEATON-AUTO,PEATON,AUTO
2016-0089,PEATON,PEATON,MASCULINO,35.0,2016-07-14,entre_20_y_40,1,2016-07-14,2016,7,14,jueves,Laboral,06:40:00,6,mañana,AUTOPISTA,"LUGONES, LEOPOLDO AV.",LA PAMPA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-34.55185825,-58.43233425,PEATON-AUTO,PEATON,AUTO
2016-0090,PEATON,PEATON,MASCULINO,60.0,2016-07-15,entre_60_y_80,1,2016-07-14,2016,7,14,jueves,Laboral,22:00:00,22,tarde-noche,AVENIDA,"SALGUERO, JERONIMO",RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-34.61112240,-58.41971993,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0092,CONDUCTOR,MOTO,MASCULINO,24.0,2016-07-15,entre_20_y_40,1,2016-07-15,2016,7,15,viernes,Laboral,11:00:00,11,mañana,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-34.53476874,-58.46743471,MOTO-CARGAS,MOTO,CARGAS
2016-0093,CONDUCTOR,AUTO,MASCULINO,35.0,2016-07-19,entre_20_y_40,1,2016-07-17,2016,7,17,domingo,No Laboral,03:30:00,3,noche,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","MITRE, EMILIO","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-34.62301748,-58.44362126,AUTO-AUTO,AUTO,AUTO
2016-0095,CONDUCTOR,MOTO,MASCULINO,29.0,2016-07-23,entre_20_y_40,1,2016-07-23,2016,7,23,sábado,No Laboral,06:12:00,6,mañana,AVENIDA,MERCEDES,MOSCONI GENERAL AV.,MERCEDES y MOSCONI GENERAL AV.,11,-34.59546519,-58.51713095,MOTO-AUTO,MOTO,AUTO
2016-0096,CONDUCTOR,MOTO,MASCULINO,0.0,,edad_desconocida,1,2016-07-25,2016,7,25,lunes,Laboral,07:00:00,7,mañana,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-34.66684950051973,-58.47433193007387,MOTO-CARGAS,MOTO,CARGAS
2016-0097,PEATON,PEATON,MASCULINO,80.0,2016-08-12,mas_de_80,1,2016-07-26,2016,7,26,martes,Laboral,18:45:00,18,tarde-noche,CALLE,SOLIS,MEXICO,SOLIS y MEXICO,1,-34.61562810,-58.39038605,PEATON-AUTO,PEATON,AUTO
2016-0098,CONDUCTOR,MOTO,FEMENINO,43.0,,entre_40_y_60,1,2016-07-27,2016,7,27,miércoles,Laboral,16:08:00,16,tarde,AVENIDA,SAN JUAN AV.,ALBERTI,SAN JUAN AV. y ALBERTI,3,-34.62356174,-58.40042405,MOTO-CARGAS,MOTO,CARGAS
2016-0099,CONDUCTOR,CARGAS,MASCULINO,45.0,,entre_40_y_60,1,2016-07-29,2016,7,29,viernes,Laboral,16:00:00,16,tarde,GRAL PAZ,MOSCONI GENERAL AV.,"PAZ, GRAL. AV.","MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-34.59798754,-58.52340614,CARGAS-CARGAS,CARGAS,CARGAS
2016-0100,CONDUCTOR,MOTO,MASCULINO,57.0,2016-08-03,entre_40_y_60,1,2016-08-03,2016,8,3,miércoles,Laboral,23:27:00,23,tarde-noche,GRAL PAZ,"PAZ, GRAL. AV.",DONADO,"PAZ, GRAL. AV. y DONADO",12,-34.54795581,-58.49491054,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0101,SD,SD,MASCULINO,67.0,,entre_60_y_80,1,2016-08-07,2016,8,7,domingo,No Laboral,19:42:00,19,tarde-noche,GRAL PAZ,"PAZ, GRAL. AV.","CHAVEZ, JORGE","PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-34.65014993,-58.52932872,SD-SD,SD,SD
2016-0102,CONDUCTOR,MOTO,MASCULINO,29.0,,entre_20_y_40,1,2016-08-10,2016,8,10,miércoles,Laboral,23:37:00,23,tarde-noche,AVENIDA,"PERON, EVA AV.","SUAREZ, JOSE LEON","PERON, EVA AV. y SUAREZ, JOSE LEON",9,-34.67316502,-58.50011639,MOTO-CARGAS,MOTO,CARGAS
2016-0104,CONDUCTOR,MOTO,MASCULINO,21.0,2016-08-15,entre_20_y_40,1,2016-08-14,2016,8,14,domingo,No Laboral,21:15:00,21,tarde-noche,AVENIDA,ZINNY,SANTIAGO DE COMPOSTELA AV.,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-34.65624369,-58.46635001,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0105,PEATON,PEATON,MASCULINO,19.0,2016-08-26,entre_0_y_20,1,2016-08-17,2016,8,17,miércoles,Laboral,00:05:00,0,noche,AVENIDA,"LACROZE, FEDERICO AV.",FRAGA,"LACROZE, FEDERICO AV. y FRAGA",15,-34.58435809,-58.45343236,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0106,PEATON,PEATON,MASCULINO,38.0,,entre_20_y_40,1,2016-08-19,2016,8,19,viernes,Laboral,21:02:00,21,tarde-noche,AVENIDA,"PELLEGRINI, CARLOS",DEL LIBERTADOR AV.,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-34.58927731,-58.38090932,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0107,CONDUCTOR,MOTO,MASCULINO,21.0,,entre_20_y_40,1,2016-08-20,2016,8,20,sábado,No Laboral,08:22:00,8,mañana,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-34.65429986,-58.37157668,MOTO-AUTO,MOTO,AUTO
2016-0109,CONDUCTOR,AUTO,FEMENINO,53.0,2016-08-24,entre_40_y_60,1,2016-08-24,2016,8,24,miércoles,Laboral,05:45:00,5,noche,AUTOPISTA,AUTOPISTA PERITO MORENO,BARRAGAN,AUTOPISTA PERITO MORENO y BARRAGAN,9,-34.63659934,-58.52280139,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0110,PEATON,PEATON,MASCULINO,57.0,,entre_40_y_60,1,2016-08-24,2016,8,24,miércoles,Laboral,20:21:00,20,tarde-noche,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CARHUE,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-34.65903530,-58.51232237,PEATON-SD,PEATON,SD
2016-0111,CONDUCTOR,MOTO,MASCULINO,27.0,2016-08-25,entre_20_y_40,1,2016-08-25,2016,8,25,jueves,Laboral,09:30:00,9,mañana,AUTOPISTA,LUGONES,LA PAMPA,LUGONES y LA PAMPA,15,-34.57663634,-58.47461905,MOTO-CARGAS,MOTO,CARGAS
2016-0112,CONDUCTOR,MOTO,MASCULINO,24.0,2016-08-27,entre_20_y_40,1,2016-08-27,2016,8,27,sábado,No Laboral,04:40:00,4,noche,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-34.62282019,-58.38268809,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0113,PEATON,PEATON,FEMENINO,60.0,,entre_60_y_80,1,2016-08-27,2016,8,27,sábado,No Laboral,16:45:00,16,tarde,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",GUARDIA NACIONAL,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-34.64564271,-58.49603546,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0114,CICLISTA,BICICLETA,FEMENINO,55.0,2016-08-31,entre_40_y_60,1,2016-08-31,2016,8,31,miércoles,Laboral,11:20:00,11,mañana,CALLE,"SALGUERO, JERONIMO",,"SALGUERO, JERONIMO 1410",14,-34.59394733,-58.41848605,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0115,SD,SD,MASCULINO,0.0,,edad_desconocida,1,2016-09-02,2016,9,2,viernes,Laboral,11:50:00,11,mañana,CALLE,ARIAS,TRONADOR,ARIAS y TRONADOR,12,-34.54917673,-58.48935041,SD-CARGAS,SD,CARGAS
2016-0116,CONDUCTOR,MOTO,MASCULINO,30.0,2016-09-02,entre_20_y_40,1,2016-09-02,2016,9,2,viernes,Laboral,20:20:00,20,tarde-noche,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-34.68475866,-58.44451316,MOTO-AUTO,MOTO,AUTO
2016-0117,CONDUCTOR,AUTO,MASCULINO,43.0,,entre_40_y_60,1,2016-09-03,2016,9,3,sábado,No Laboral,15:30:00,15,tarde,AVENIDA,DEL LIBERTADOR AV.,TAGLE,DEL LIBERTADOR AV. y TAGLE,14,-34.58271474,-58.39936478,AUTO-AUTO,AUTO,AUTO
2016-0118,CONDUCTOR,AUTO,MASCULINO,27.0,2016-09-04,entre_20_y_40,1,2016-09-04,2016,9,4,domingo,No Laboral,03:30:00,3,noche,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-34.62694503,-58.37936704,AUTO-AUTO,AUTO,AUTO
2016-0119,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,0.0,,edad_desconocida,1,2016-09-04,2016,9,4,domingo,No Laboral,06:40:00,6,mañana,AVENIDA,"LARRALDE, CRISOLOGO AV.",TRIUNVIRATO AV.,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-34.56353635,-58.49659234,SD-SD,SD,SD
2016-0122,CICLISTA,BICICLETA,MASCULINO,49.0,2016-09-13,entre_40_y_60,1,2016-09-13,2016,9,13,martes,Laboral,07:10:00,7,mañana,AVENIDA,"PERON, EVA AV.",,"PERON, EVA AV. 4233",9,-34.65194557,-58.47256391,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2016-0123,CONDUCTOR,MOTO,FEMENINO,58.0,,entre_40_y_60,1,2016-09-14,2016,9,14,miércoles,Laboral,09:00:00,9,mañana,AVENIDA,ASAMBLEA AV.,"BONORINO, ESTEBAN, CNEL. AV.","ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-34.64053676,-58.45130953,MOTO-AUTO,MOTO,AUTO
2016-0124,PEATON,PEATON,MASCULINO,67.0,,entre_60_y_80,1,2016-09-16,2016,9,16,viernes,Laboral,15:24:00,15,tarde,AVENIDA,RIVADAVIA AV.,RIVERA INDARTE AV.,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-34.62884871,-58.46271207,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0125,CONDUCTOR,MOTO,MASCULINO,30.0,,entre_20_y_40,1,2016-09-17,2016,9,17,sábado,No Laboral,12:14:00,12,tarde,AUTOPISTA,AUTOPISTA PERITO MORENO,"ALBERDI, JUAN BAUTISTA AV.","AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-34.64243791,-58.49020869,MOTO-MOTO,MOTO,MOTO
2016-0126,CONDUCTOR,AUTO,MASCULINO,37.0,,entre_20_y_40,2,2016-09-18,2016,9,18,domingo,No Laboral,22:45:00,22,tarde-noche,CALLE,IRIGOYEN,TINOGASTA,IRIGOYEN y TINOGASTA,10,-34.62125906,-58.52572109,AUTO-CARGAS,AUTO,CARGAS
2016-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0,,entre_60_y_80,2,2016-09-18,2016,9,18,domingo,No Laboral,22:45:00,22,tarde-noche,CALLE,IRIGOYEN,TINOGASTA,IRIGOYEN y TINOGASTA,10,-34.62125906,-58.52572109,AUTO-CARGAS,AUTO,CARGAS
2016-0127,PEATON,PEATON,MASCULINO,50.0,,entre_40_y_60,1,2016-09-24,2016,9,24,sábado,No Laboral,10:25:00,10,mañana,AVENIDA,"ACOSTA, MARIANO","ROCA, CNEL. AV.","ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-34.66677111,-58.44094791,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0128,PEATON,PEATON,FEMENINO,81.0,2016-10-02,mas_de_80,1,2016-10-02,2016,10,2,domingo,No Laboral,11:30:00,11,mañana,AVENIDA,CASTRO,PAVON AV.,CASTRO y PAVON AV.,5,-34.63053890,-58.41914024,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0130,CONDUCTOR,MOTO,MASCULINO,29.0,2016-10-04,entre_20_y_40,1,2016-10-04,2016,10,4,martes,Laboral,12:30:00,12,tarde,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-34.62764717,-58.37910942,MOTO-CARGAS,MOTO,CARGAS
2016-0131,PEATON,PEATON,MASCULINO,35.0,,entre_20_y_40,1,2016-10-09,2016,10,9,domingo,No Laboral,19:13:00,19,tarde-noche,CALLE,MIRAVE,,MIRAVE 3500,4,-34.64539318,-58.39871183,PEATON-AUTO,PEATON,AUTO
2016-0132,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,2016-10-10,entre_20_y_40,1,2016-10-10,2016,10,10,lunes,Laboral,02:30:00,2,noche,AVENIDA,SAN JUAN AV.,24 DE NOVIEMBRE,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-34.62477021,-58.41036975,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0133,CONDUCTOR,MOTO,MASCULINO,41.0,2016-10-25,entre_40_y_60,1,2016-10-14,2016,10,14,viernes,Laboral,00:05:00,0,noche,AVENIDA,LAS HERAS GENERAL AV.,SANCHEZ DE BUSTAMANTE,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-34.58342690,-58.40204698,MOTO-AUTO,MOTO,AUTO
2016-0134,CONDUCTOR,MOTO,MASCULINO,25.0,2016-10-23,entre_20_y_40,1,2016-10-23,2016,10,23,domingo,No Laboral,05:00:00,5,noche,AVENIDA,PIEDRA BUENA AV.,2 DE ABRIL DE 1982,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-34.67648597,-58.48935287,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0135,PEATON,PEATON,MASCULINO,29.0,2016-10-25,entre_20_y_40,1,2016-10-24,2016,10,24,lunes,Laboral,05:00:00,5,noche,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","PINEDO, INT.","FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-34.56403694,-58.42260225,PEATON-SD,PEATON,SD
2016-0136,CONDUCTOR,MOTO,SD,0.0,,edad_desconocida,1,2016-10-25,2016,10,25,martes,Laboral,00:00:00,0,noche,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,,AU BUENOS AIRES - LA PLATA KM. 4,4,.,.,MOTO-CARGAS,MOTO,CARGAS
2016-0137,CONDUCTOR,MOTO,MASCULINO,30.0,,entre_20_y_40,1,2016-10-25,2016,10,25,martes,Laboral,00:39:00,0,noche,AVENIDA,SAN MARTIN AV.,LADINES,SAN MARTIN AV. y LADINES,11,-34.59035925,-58.51537091,MOTO-MOTO,MOTO,MOTO
2016-0138,CICLISTA,BICICLETA,FEMENINO,33.0,,entre_20_y_40,1,2016-10-27,2016,10,27,jueves,Laboral,20:30:00,20,tarde-noche,AVENIDA,CABILDO AV.,BLANCO ENCALADA,CABILDO AV. y BLANCO ENCALADA,13,-34.55922742,-58.45909670,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0139,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35.0,,entre_20_y_40,1,2016-10-28,2016,10,28,viernes,Laboral,23:00:00,23,tarde-noche,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",DORREGO AV.,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-34.56539579,-58.42008769,MOTO-MOTO,MOTO,MOTO
2016-0140,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20.0,,entre_20_y_40,1,2016-10-31,2016,10,31,lunes,Laboral,02:58:00,2,noche,AVENIDA,JURAMENTO AV.,VUELTA DE OBLIGADO,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-34.56147293,-58.45566399,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
