id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2016-0156,CONDUCTOR,MOTO,MASCULINO,23.0,2016-11-30,entre_20_y_40
2016-0157,CONDUCTOR,MOTO,MASCULINO,23.0,,entre_20_y_40
2016-0159,CONDUCTOR,AUTO,MASCULINO,23.0,,entre_20_y_40
2016-0160,CONDUCTOR,CARGAS,MASCULINO,29.0,2016-12-06,entre_20_y_40
2016-0161,PEATON,PEATON,MASCULINO,50.0,2016-12-06,entre_40_y_60
2016-0162,PEATON,PEATON,MASCULINO,38.0,2017-01-01,entre_20_y_40
2016-0163,CONDUCTOR,MOTO,MASCULINO,23.0,,entre_20_y_40
2016-0164,CONDUCTOR,AUTO,MASCULINO,29.0,,entre_20_y_40
2016-0165,CICLISTA,BICICLETA,MASCULINO,37.0,,entre_20_y_40
2016-0168,CONDUCTOR,MOTO,MASCULINO,43.0,2016-12-13,entre_40_y_60
2016-0169,CONDUCTOR,MOTO,MASCULINO,24.0,2016-12-16,entre_20_y_40
2016-0170,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,2016-12-19,entre_20_y_40
2016-0171,CONDUCTOR,MOTO,SD,0.0,,edad_desconocida
2016-0172,CONDUCTOR,MOTO,MASCULINO,38.0,2016-12-26,entre_20_y_40
2016-0173,CONDUCTOR,MOTO,MASCULINO,35.0,,entre_20_y_40
2016-0174,SD,SD,SD,0.0,,edad_desconocida
2016-0175,PEATON,PEATON,FEMENINO,0.0,,edad_desconocida
2016-0176,CONDUCTOR,MOTO,MASCULINO,28.0,,entre_20_y_40
2016-0177,PEATON,PEATON,FEMENINO,27.0,,entre_20_y_40
2016-0178,PEATON,PEATON,FEMENINO,7.0,,entre_0_y_20
2017-0001,CONDUCTOR,MOTO,MASCULINO,18.0,2017-01-02,entre_0_y_20
2017-0003,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33.0,2017-01-05,entre_20_y_40
2017-0007,PEATON,PEATON,MASCULINO,48.0,2017-01-11,entre_40_y_60
2017-0008,CONDUCTOR,MOTO,MASCULINO,29.0,2017-01-16,entre_20_y_40
2017-0009,CONDUCTOR,MOTO,MASCULINO,36.0,2017-01-16,entre_20_y_40
2017-0010,CONDUCTOR,MOTO,MASCULINO,23.0,2017-01-16,entre_20_y_40
2017-0011,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29.0,2017-01-22,entre_20_y_40
2017-0012,CONDUCTOR,MOTO,MASCULINO,30.0,2017-01-24,entre_20_y_40
2017-0013,PEATON,PEATON,MASCULINO,4.0,2017-01-27,entre_0_y_20
2017-0014,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22.0,2017-01-28,entre_20_y_40
2017-0015,PEATON,PEATON,MASCULINO,82.0,2017-02-21,mas_de_80
2017-0016,CONDUCTOR,MOTO,MASCULINO,27.0,2017-02-04,entre_20_y_40
2017-0017,CONDUCTOR,MOTO,MASCULINO,32.0,2017-02-06,entre_20_y_40
2017-0018,CONDUCTOR,MOTO,MASCULINO,30.0,2017-02-09,entre_20_y_40
2017-0021,CONDUCTOR,MOTO,MASCULINO,43.0,2017-02-18,entre_40_y_60
2017-0024,PEATON,PEATON,MASCULINO,39.0,2017-02-23,entre_20_y_40
2017-0025,CONDUCTOR,MOTO,MASCULINO,23.0,2017-02-24,entre_20_y_40
2017-0026,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23.0,2017-02-26,entre_20_y_40
2017-0026,CONDUCTOR,AUTO,MASCULINO,19.0,2017-02-26,entre_0_y_20
2017-0027,PEATON,PEATON,MASCULINO,0.0,2017-02-26,edad_desconocida
2017-0028,PEATON,PEATON,MASCULINO,87.0,2017-02-28,mas_de_80
2017-0029,SD,SD,MASCULINO,34.0,2017-03-07,entre_20_y_40
2017-0030,CONDUCTOR,AUTO,FEMENINO,27.0,2017-03-07,entre_20_y_40
2017-0031,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70.0,2017-03-11,entre_60_y_80
2017-0032,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40.0,2017-03-12,entre_40_y_60
2017-0033,CONDUCTOR,AUTO,MASCULINO,28.0,2017-03-12,entre_20_y_40
2017-0034,PEATON,PEATON,MASCULINO,43.0,2017-03-13,entre_40_y_60
2017-0035,CONDUCTOR,AUTO,MASCULINO,28.0,2017-03-23,entre_20_y_40
2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32.0,2017-03-23,entre_20_y_40
2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,2017-03-23,entre_20_y_40
2017-0036,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,0.0,2017-03-29,edad_desconocida
2017-0036,CONDUCTOR,MOTO,MASCULINO,20.0,2017-03-29,entre_20_y_40
2017-0037,CONDUCTOR,MOTO,MASCULINO,41.0,2017-03-31,entre_40_y_60
2017-0038,CONDUCTOR,MOTO,FEMENINO,40.0,2017-04-01,entre_40_y_60
2017-0040,CONDUCTOR,AUTO,MASCULINO,43.0,2017-04-03,entre_40_y_60
2017-0041,CONDUCTOR,MOTO,MASCULINO,17.0,,entre_0_y_20
2017-0042,CONDUCTOR,MOTO,MASCULINO,0.0,2017-04-10,edad_desconocida
2017-0045,CONDUCTOR,MOTO,MASCULINO,21.0,2017-04-14,entre_20_y_40
2017-0047,CONDUCTOR,MOTO,MASCULINO,37.0,2017-04-23,entre_20_y_40
2017-0049,PEATON,PEATON,MASCULINO,22.0,2017-04-27,entre_20_y_40
2017-0050,CONDUCTOR,MOTO,MASCULINO,46.0,2017-04-28,entre_40_y_60
2017-0050,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16.0,2017-04-28,entre_0_y_20
2017-0051,CONDUCTOR,AUTO,MASCULINO,33.0,2017-05-01,entre_20_y_40
2017-0052,PEATON,PEATON,FEMENINO,47.0,2017-05-05,entre_40_y_60
